country,total_actual,total_forecast,mean_abs_error,mean_variance_pct,weeks,total_variance,total_variance_pct,MAE,MAPE
Brazil,15165757,16075383,15215.884615384615,5.3251923076923084,104,909626,6.0,15216,10.43
Germany,6710712,8090875,13496.836538461539,20.37932692307692,104,1380163,20.57,13497,20.92
India,52866227,63509382,104540.47115384616,19.632884615384615,104,10643155,20.13,104540,20.57
UK,9264545,10373193,13123.211538461539,11.471442307692307,104,1108648,11.97,13123,14.73
USA,36608576,42542217,59778.355769230766,16.785865384615384,104,5933641,16.21,59778,16.98
